,nome,p_normalizacao,p_topo,p_topo_shape,p_OtrainEpochs,p_O_radius,p_OlearningRate,p_OLR_Type,p_FtrainEpochs,p_F_radius,p_FlearningRate,p_FLR_Type,mqe,tge,cbe,obs
0,EXP_A0,var,"5,5",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.851090073495787,0.00465116279069767,1.36275418163947,topologia
1,EXP_A1,var,"10,10",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.509349879445297,0.0511627906976744,0.936896557598471,topologia
2,EXP_A1a,var,"10,10",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.526861549957302,0.0186046511627907,0.917991285567638,topologia
3,EXP_A1b,var,"10,10",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.516406287294242,0.027906976744186,0.919696375607918,topologia
4,EXP_A2,var,"15,15",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.36061749894158,0.00930232558139535,0.643304732654032,topologia
5,EXP_A2a,var,"15,15",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.359907778683048,0.00465116279069767,0.662310625773769,topologia
6,EXP_A3,var,"20,20",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.26831791595995,0.013953488372093,0.513905088451594,topologia
7,EXP_A4,var,"5,5",rect,80,"4,1",0.9,linear,100,1,0.1,linear,0.829631559486915,0.2,1.52316214073201,topologia
8,EXP_A5,var,"10,10",rect,80,"4,1",0.9,linear,100,1,0.1,linear,0.485903723350187,0.167441860465116,1.00275017727774,topologia
9,EXP_A6,var,"15,15",rect,80,"4,1",0.9,linear,100,1,0.1,linear,0.341204217208219,0.0651162790697674,0.658632041785035,topologia
10,EXP_A7,var,"20,20",rect,80,"4,1",0.9,linear,100,1,0.1,linear,0.255695923879285,0.0883720930232558,0.542827452502269,topologia
11,EXP_A7a,var,"20,20",rect,80,"4,1",0.9,linear,100,1,0.1,linear,0.256993256263607,0.0697674418604651,0.528904425354372,topologia
12,EXP_B,range,"15,15",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.0553953308539869,0.013953488372093,0.1026276137024,normalizacao
13,EXP_B1,range,"15,15",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.0554285960086721,0,0.102082082075096,normalizacao
14,EXP_B2,histC,"15,15",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.144366555975744,0.0186046511627907,0.256705329718467,normalizacao
15,EXP_B3,histD,"15,15",hexa,80,"4,1",0.9,linear,100,1,0.1,linear,0.11079020060578,0.00465116279069767,0.191671076288177,normalizacao
16,EXP_C,range,"15,15",hexa,100,"7,1",0.9,linear,112500,1,0.1,linear,0.053805721362078,0.00465116279069767,0.101835216429271,learning
17,EXP_C1,range,"15,15",hexa,500,"7,1",0.5,linear,10500,1,0.1,linear,0.054143714378614,0.00930232558139535,0.101693691640285,learning
18,EXP_C2,range,"15,15",hexa,1000,"7,1",0.5,linear,10500,1,0.1,linear,0.0542885109786076,0.0232558139534884,0.102608506492787,learning
19,EXP_C2a,range,"15,15",hexa,1000,"7,1",0.5,linear,10500,1,0.1,linear,0.0550740261966515,0.013953488372093,0.104620294999562,learning
20,EXP_C2_1,range,"15,15",hexa,1000,"7,1",0.1,linear,10500,1,0.1,linear,0.0554370065217685,0.0186046511627907,0.105050800040295,learning
21,EXP_C3,range,"15,15",hexa,1000,"7,1",0.9,linear,10500,1,0.1,linear,0.0547614410557232,0.013953488372093,0.101149983227543,learning
22,EXP_C3_1,range,"15,15",hexa,1000,"7,1",0.9,linear,10500,1,0.1,linear,0.0544786951156885,0.013953488372093,0.105265874574709,learning_type
23,EXP_C3_2,range,"15,15",hexa,1000,"7,1",0.9,inv,10500,1,0.1,linear,0.0548204028808803,0.00930232558139535,0.101802358714198,learning_type
24,EXP_C3_3,range,"15,15",hexa,1000,"7,1",0.9,power,10500,1,0.1,linear,0.055292155301163,0.013953488372093,0.104348132873751,learning_type
25,EXP_C3_4,range,"15,15",hexa,1000,"7,1",0.9,linear,10500,1,0.1,inv,0.0557264945852869,0.0186046511627907,0.106512307199538,learning_type
26,EXP_C3_5,range,"15,15",hexa,1000,"7,1",0.9,linear,10500,1,0.1,power,0.0555891038629079,0.00465116279069767,0.103633236366666,learning_type
27,EXP_C3_6,range,"15,15",hexa,1000,"7,1",0.9,linear,112500,1,0.1,power,0.0538601231763901,0.027906976744186,0.102785504963184,learning
28,EXP_C3_7,range,"15,15",hexa,1000,"15,1",0.9,linear,112500,1,0.1,power,0.0542648663829928,0.0325581395348837,0.10338179710848,learning
